;comorb;code;final_odds_ratio_2_5_alz;final_p_value_2_5_alz;final_odds_ratio_5_10_alz;final_p_value_5_10_alz;final_odds_ratio_10_15_alz;final_p_value_10_15_alz;;n_5_10_FR;n_5_10_FR_cont
0;STOMATOLOGICAL PREPARATIONS;['A01'];1.02 (0.92,1.14);0.649 (61.014);1.09 (0.92,1.29);0.318 (29.875);0.88 (0.62,1.25);0.483 (45.382);;427 (13.09%);232 (12.09%)
1;DRUGS FOR ACID RELATED DISORDERS;['A02'];1.07 (1.0,1.14);0.062 (5.86);1.21 (1.08,1.35);0.001 (0.103);1.27 (0.99,1.61);0.055 (5.169);;1733 (53.11%);929 (48.41%)
2;DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;['A03'];1.18 (1.1,1.27);<0.001 (<0.001);1.2 (1.07,1.35);0.002 (0.212);1.15 (0.9,1.46);0.276 (25.913);;1341 (41.1%);704 (36.69%)
3;ANTIEMETICS AND ANTINAUSEANTS;['A04'];0.98 (0.84,1.16);0.85 (79.92);0.93 (0.69,1.24);0.607 (57.066);0.71 (0.41,1.24);0.227 (21.349);;118 (3.62%);74 (3.86%)
4;BILE AND LIVER THERAPY;['A05'];1.79 (1.52,2.12);<0.001 (<0.001);1.26 (0.97,1.63);0.078 (7.369);1.09 (0.66,1.8);0.729 (68.485);;190 (5.82%);90 (4.69%)
5;DRUGS FOR CONSTIPATION;['A06'];1.42 (1.32,1.54);<0.001 (<0.001);1.21 (1.06,1.38);0.005 (0.443);1.38 (1.02,1.85);0.035 (3.258);;879 (26.94%);451 (23.5%)
6;ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS;['A07'];1.05 (0.98,1.14);0.17 (15.986);1.28 (1.13,1.44);<0.001 (0.009);1.17 (0.91,1.5);0.225 (21.186);;1117 (34.23%);555 (28.92%)
7;ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS;['A08'];0.74 (0.39,1.41);0.354 (33.305);0.89 (0.38,2.06);0.783 (73.62);0.84 (0.39,1.82);0.663 (62.305);;14 (0.43%);9 (0.47%)
8;DIGESTIVES, INCL. ENZYMES;['A09'];1.26 (0.91,1.75);0.171 (16.05);1.53 (0.93,2.51);0.093 (8.728);1.95 (0.8,4.76);0.143 (13.434);;57 (1.75%);22 (1.15%)
9;DRUGS USED IN DIABETES;['A10'];0.98 (0.88,1.09);0.689 (64.756);1.21 (1.0,1.46);0.047 (4.458);1.39 (0.92,2.1);0.113 (10.611);;362 (11.09%);179 (9.33%)
10;VITAMINS;['A11'];1.22 (1.13,1.31);<0.001 (<0.001);1.12 (0.98,1.28);0.107 (10.069);1.08 (0.75,1.55);0.667 (62.693);;771 (23.63%);417 (21.73%)
11;MINERAL SUPPLEMENTS;['A12'];1.46 (1.36,1.57);<0.001 (<0.001);1.52 (1.35,1.71);<0.001 (<0.001);1.53 (1.19,1.97);0.001 (0.088);;1360 (41.68%);616 (32.1%)
12;TONICS;['A13'];1.72 (1.4,2.11);<0.001 (<0.001);1.51 (1.05,2.18);0.028 (2.635);1.25 (0.6,2.6);0.542 (50.962);;103 (3.16%);41 (2.14%)
13;ANABOLIC AGENTS FOR SYSTEMIC USE;['A14'];<0.001 (<0.001,<0.001);<0.001 (<0.001);<0.001 (<0.001,<0.001);<0.001 (<0.001);<0.001 (<0.001,<0.001);<0.001 (<0.001);;1 (0.03%);0 (0.0%)
14;APPETITE STIMULANTS;['A15'];<0.001 (<0.001,<0.001);<0.001 (<0.001);<0.001 (<0.001,<0.001);<0.001 (<0.001);<0.001 (<0.001,<0.001);<0.001 (<0.001);;1 (0.03%);1 (0.05%)
15;OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS;['A16'];1.24 (1.0,1.53);0.051 (4.822);1.5 (1.06,2.14);0.024 (2.225);1.19 (0.61,2.32);0.62 (58.291);;111 (3.4%);44 (2.29%)
16;ANTITHROMBOTIC AGENTS;['B01'];1.23 (1.15,1.33);<0.001 (<0.001);1.15 (1.01,1.32);0.035 (3.281);1.54 (1.08,2.19);0.016 (1.517);;842 (25.8%);450 (23.45%)
17;ANTIHEMORRHAGICS;['B02'];1.03 (0.7,1.51);0.874 (82.196);0.79 (0.46,1.38);0.414 (38.942);<0.001 (<0.001,<0.001);<0.001 (<0.001);;30 (0.92%);22 (1.15%)
18;ANTIANEMIC PREPARATIONS;['B03'];1.4 (1.25,1.56);<0.001 (<0.001);1.25 (1.01,1.56);0.045 (4.201);1.62 (0.96,2.73);0.07 (6.557);;265 (8.12%);127 (6.62%)
19;BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS;['B05'];0.89 (0.7,1.14);0.354 (33.32);1.07 (0.49,2.33);0.856 (80.497);<0.001 (<0.001,<0.001);<0.001 (<0.001);;18 (0.55%);10 (0.52%)
20;OTHER HEMATOLOGICAL AGENTS;['B06'];1.46 (0.77,2.79);0.249 (23.374);3.68 (1.28,10.59);0.016 (1.477);<0.001 (<0.001,<0.001);<0.001 (<0.001);;25 (0.77%);4 (0.21%)
21;CARDIAC THERAPY;['C01'];1.34 (1.24,1.45);<0.001 (<0.001);1.31 (1.14,1.5);<0.001 (0.012);1.24 (0.9,1.69);0.184 (17.329);;795 (24.36%);383 (19.96%)
22;ANTIHYPERTENSIVES;['C02'];0.99 (0.87,1.12);0.845 (79.413);1.03 (0.83,1.29);0.774 (72.772);0.8 (0.5,1.28);0.354 (33.316);;233 (7.14%);134 (6.98%)
23;DIURETICS;['C03'];0.97 (0.89,1.05);0.455 (42.744);0.99 (0.86,1.14);0.89 (83.63);1.0 (0.74,1.36);0.995 (93.566);;675 (20.69%);404 (21.05%)
24;PERIPHERAL VASODILATORS;['C04'];1.8 (1.59,2.04);<0.001 (<0.001);1.51 (1.24,1.84);<0.001 (0.004);1.38 (0.87,2.19);0.168 (15.784);;371 (11.37%);152 (7.92%)
25;VASOPROTECTIVES;['C05'];1.24 (1.15,1.33);<0.001 (<0.001);1.29 (1.14,1.44);<0.001 (0.002);1.23 (0.97,1.57);0.087 (8.192);;1387 (42.51%);702 (36.58%)
26;BETA BLOCKING AGENTS;['C07'];1.11 (1.03,1.2);0.007 (0.666);1.0 (0.88,1.15);0.951 (89.363);1.03 (0.78,1.38);0.813 (76.445);;797 (24.43%);469 (24.44%)
27;CALCIUM CHANNEL BLOCKERS;['C08'];1.02 (0.94,1.11);0.601 (56.533);1.17 (1.01,1.36);0.032 (2.978);0.79 (0.57,1.09);0.156 (14.67);;641 (19.64%);334 (17.4%)
28;AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM;['C09'];0.98 (0.92,1.05);0.581 (54.647);0.89 (0.79,1.01);0.061 (5.763);0.76 (0.59,0.99);0.041 (3.864);;1152 (35.3%);731 (38.09%)
