code;n_brut_5_10_SW;n_5_10_SW;n_brut_5_10_SW_cont;n_5_10_SW_cont;coef_5_10_SW;StdErr;OddsRatioEst;UpperCL;LowerCL;oddratio_ci;oddratio_ci
A01;880;5.27831094;7886;4.730086372;0.060501063;0.018709464;1.128627312;0.996774477;1.277921576;;1.13 (1.00-1.28)
A02;1889;11.33037428;18403;11.03826775;0.01617306;0.013459996;1.032874942;0.944566005;1.129440018;;1.03 (0.94-1.13)
A03;298;1.787428023;2597;1.557701536;0.071072928;0.031114715;1.15274477;0.937574348;1.41729614;;1.15 (0.94-1.42)
A04;22;0.131957774;216;0.129558541;0.009229277;0.112233115;1.018629966;0.483462524;2.146199463;;1.02 (0.48-2.15)
A05;5;0.029990403;46;0.027591171;0.041692484;0.235445605;1.086960174;0.227637841;5.190184619;;1.09 (0.23-5.19)
A06;1618;9.704894434;12889;7.730926104;0.1366582;0.014591064;1.314316028;1.192951102;1.44802802;;1.31 (1.19-1.45)
A07;316;1.895393474;3080;1.847408829;0.013276331;0.030060061;1.026908324;0.841096064;1.253769636;;1.03 (0.84-1.25)
A08;49;0.29390595;512;0.307101727;-0.022137734;0.075065723;0.956690384;0.581165334;1.574864219;;0.96 (0.58-1.57)
A09;33;0.19793666;301;0.180542226;0.046050951;0.091745048;1.09647655;0.596250052;2.016370181;;1.10 (0.60-2.02)
A10;1094;6.561900192;9734;5.83853167;0.065105882;0.016880296;1.139069572;1.018290025;1.274174801;;1.14 (1.02-1.27)
B01;4155;24.92202495;38959;23.36792226;0.054174086;0.010674377;1.114435694;1.038179971;1.196292503;;1.11 (1.04-1.20)
C01;1587;9.518953935;15530;9.315019194;0.01297179;0.014434332;1.026283044;0.932485251;1.129515866;;1.03 (0.93-1.13)
C02;156;0.935700576;1454;0.872120921;0.035746851;0.042470005;1.074111385;0.810169554;1.424041749;;1.07 (0.81-1.42)
C03;2065;12.38603647;21629;12.97324856;-0.029814478;0.013033006;0.942114034;0.864011217;1.027277001;;0.94 (0.86-1.03)
C04;6;0.035988484;47;0.028190979;0.122098492;0.216762116;1.276595776;0.302665537;5.384480815;;1.28 (0.30-5.38)
C05;397;2.381238004;3586;2.150911708;0.053130097;0.027054367;1.112111203;0.929244182;1.330964833;;1.11 (0.93-1.33)
C07;3096;18.57005758;31124;18.6684261;-0.003811057;0.011312348;0.992406861;0.920592927;1.069822881;;0.99 (0.92-1.07)
C08;1800;10.79654511;18837;11.29858445;-0.027923383;0.013645371;0.945684036;0.863765893;1.035371161;;0.95 (0.86-1.04)
C09;2999;17.98824376;30029;18.01163628;-0.000932785;0.011471164;0.998136168;0.924931735;1.077134423;;1.00 (0.92-1.08)
C10;3033;18.1921785;27310;16.38075816;0.074334742;0.011491487;1.160289432;1.075047417;1.252290405;;1.16 (1.08-1.25)
D06;288;1.727447217;2511;1.506118042;0.070972833;0.031681618;1.152514026;0.933864703;1.422356553;;1.15 (0.93-1.42)
D07;1836;11.01247601;15972;9.580134357;0.086131763;0.013790038;1.187990858;1.084041493;1.301907989;;1.19 (1.08-1.30)
G01;1;0.005998081;10;0.005998081;0.000000000002;0.524404424;1;0.030742718;32.52802853;;1.00 (0.03-32.53)
G03;63;0.377879079;554;0.332293666;0.064697888;0.066708135;1.138140483;0.730845305;1.772418528;;1.14 (0.73-1.77)
G04;2404;14.4193858;20343;12.20189539;0.108999872;0.012446469;1.243586748;1.144941843;1.350730615;;1.24 (1.14-1.35)
H01;57;0.341890595;344;0.206333973;0.253123372;0.071609704;1.659052644;1.03122824;2.669104248;;1.66 (1.03-2.67)
H02;805;4.828454894;8472;5.081573896;-0.028173739;0.019345384;0.945210638;0.831268091;1.074771377;;0.95 (0.83-1.07)
H03;325;1.9493762;3019;1.810820537;0.038004082;0.029650806;1.078971384;0.886143481;1.313759308;;1.08 (0.89-1.31)
J01;4330;25.97168906;39781;23.86096449;0.080224783;0.011162759;1.17403856;1.090163448;1.264366865;;1.17 (1.09-1.26)
J02;62;0.371880998;624;0.37428023;-0.003237089;0.066803177;0.993546734;0.637593401;1.548220404;;0.99 (0.64-1.55)
J05;244;1.46353167;2108;1.264395393;0.07536839;0.03435646;1.162690575;0.92552528;1.460629332;;1.16 (0.93-1.46)
J06;8;0.047984645;72;0.04318618;0.052684554;0.186338358;1.111120659;0.322407904;3.829276843;;1.11 (0.32-3.83)
J07;163;0.97768714;1667;0.999880038;-0.011517229;0.041563035;0.97722881;0.741546426;1.287817072;;0.98 (0.74-1.29)
L01;434;2.603166987;4441;2.663747601;-0.012091405;0.025775639;0.97610725;0.822558358;1.158319473;;0.98 (0.82-1.16)
L02;261;1.56549904;2344;1.405950096;0.055381227;0.033141914;1.117129506;0.896458351;1.39212082;;1.12 (0.90-1.39)
L03;17;0.10196737;153;0.091770633;0.052814303;0.127991265;1.111409029;0.475091792;2.599981839;;1.11 (0.48-2.60)
L04;134;0.803742802;1066;0.639395393;0.115883969;0.046157069;1.260827104;0.928003293;1.713016534;;1.26 (0.93-1.71)
M01;3107;18.63603647;28657;17.18869962;0.060501586;0.011642092;1.128628491;1.044667258;1.219337796;;1.13 (1.04-1.22)
M03;184;1.103646833;1577;0.945897313;0.078429132;0.039301502;1.169829796;0.901128003;1.518654117;;1.17 (0.90-1.52)
M05;123;0.737763916;1057;0.633997121;0.076562227;0.04789152;1.165470018;0.847995099;1.601802138;;1.17 (0.85-1.60)
N02;2850;17.09452975;26278;15.76175624;0.057971263;0.011863796;1.12293133;1.037864913;1.214970037;;1.12 (1.04-1.21)
N03;260;1.55950096;2398;1.438339731;0.041528148;0.033097727;1.086602977;0.872217729;1.353682677;;1.09 (0.87-1.35)
N04;123;0.737763916;1072;0.642994242;0.069419917;0.047846311;1.148940064;0.836218906;1.578609694;;1.15 (0.84-1.58)
N05;2099;12.58997121;18035;10.81753839;0.094888286;0.012995008;1.208979447;1.10903283;1.317933305;;1.21 (1.11-1.32)
N06;1372;8.229366603;7495;4.49556142;0.337620491;0.015748525;1.964506329;1.769450548;2.181064127;;1.96 (1.77-2.18)
N07;113;0.677783109;1075;0.644793666;0.025487392;0.049988468;1.052296358;0.755063027;1.466536679;;1.05 (0.76-1.47)
P02;7;0.041986564;66;0.039587332;0.029420665;0.198751448;1.060606941;0.283401745;3.969231325;;1.06 (0.28-3.97)
P03;6;0.035988484;70;0.041986564;-0.077055367;0.212688913;0.857177097;0.208797972;3.518964131;;0.86 (0.21-3.52)
