code;final_odds_ratio_2_5_als;std_2_5;final_odds_ratio_5_10_als;std_5_10;n_brut_2_5_AUS;n_brut_5_10_AUS;n_2_5_AUS;n_5_10_AUS;n_brut_5_10_AUS_cont;n_5_10_AUS_cont;n_brut_2_5_AUS_cont;n_2_5_AUS_cont
A01;1.4245021444292;0.0910029582021411;1.23995334061864;0.106185101667135;142;115;2.78158667972576;2.8076171875;1020;2.409069438;1100;2.081756245
A02;1.05100500285591;0.0311898096312747;1.05576255924455;0.0368634241570279;1922;1562;37.6493633692458;38.134765625;16300;38.49787435;19680;37.24451173
A03;1.14247821101214;0.0593587154485692;1.02625844717495;0.0701651350447685;345;260;6.75808031341822;6.34765625;3020;7.132735002;3360;6.358819076
A04;1.1080138081982;0.0536576132792461;0.995660322020923;0.0636459839678141;436;343;8.54064642507346;8.3740234375;3940;9.305621162;4400;8.327024981
A06;0.892527996789044;0.0716826534997345;0.805083380692412;0.0952503827354575;230;142;4.50538687561215;3.466796875;1880;4.440245631;2680;5.071915216
A07;0.984093405683543;0.0670822370466571;0.886250358672335;0.0721574660554991;262;257;5.13222331047992;6.2744140625;3120;7.368918281;2800;5.299015897
A09;1.28730158971262;0.400081882866837;1.45145453909447;0.352658692121923;7;10;0.137120470127326;0.244140625;80;0.188946623;60;0.113550341
A10;0.657673440781266;0.0527593253650359;0.632511690663623;0.0684289278633025;439;283;8.59941234084231;6.9091796875;4480;10.58101086;6420;12.14988645
A11;0.811565621498494;0.200669936964313;0.544052876847626;0.242017900500257;28;24;0.548481880509305;0.5859375;400;0.944733113;360;0.681302044
A12;0.946551413876651;0.0843139048502779;0.994123641160231;0.08979761628486;168;189;3.29089128305583;4.6142578125;2000;4.723665564;1900;3.595760787
B01;0.928055637398743;0.0390833295310727;0.854133166275407;0.0475931818727147;1040;783;20.3721841332027;19.1162109375;9020;21.3037317;11220;21.2339137
B02;1.01031235782023;0.388712804230225;1.72564123387679;0.229143729386144;8;22;0.156709108716944;0.537109375;180;0.425129901;80;0.151400454
B03;0.908124596791159;0.0640710527809576;0.968435900525913;0.0829825225132133;292;193;5.71988246816846;4.7119140625;2200;5.196032121;3420;6.472369417
B05;1.65738684970456;0.153451919200147;1.06794322073254;0.180313337550318;51;35;0.999020568070519;0.8544921875;380;0.897496457;300;0.567751703
C01;0.917408613988759;0.0523993706904532;1.07678514075806;0.06445034383036;471;363;9.22624877571009;8.8623046875;3420;8.077468115;5200;9.841029523
C02;0.886125737334315;0.0772499430220852;0.808772749714501;0.096341259835454;200;137;3.9177277179236;3.3447265625;1740;4.109589041;2200;4.163512491
C03;0.899667369207723;0.0503788154695005;0.735469023384674;0.063190662380105;512;375;10.0293829578844;9.1552734375;5100;12.04534719;5940;11.24148372
C05;1.52350430978989;0.415653411160959;0.747252919914472;0.52399139010538;9;6;0.176297747306562;0.146484375;40;0.094473311;40;0.075700227
C07;0.828414220765725;0.0437355536590001;0.754692474893514;0.0568899301155255;723;484;14.1625857002938;11.81640625;6140;14.50165328;8620;16.31339894
C08;0.947962697268979;0.0414692754210146;0.917510575957938;0.0509133099680677;829;654;16.2389813907933;15.966796875;7000;16.53282948;8940;16.91900076
C09;0.862843096119934;0.0319695271842343;0.80429599604498;0.0389061468055898;2070;1507;40.5484818805093;36.7919921875;17480;41.28483703;23080;43.67903104
C10;0.924592723459218;0.0316879224217717;1.06440154853896;0.0380251129434518;2063;1604;40.411361410382;39.16015625;16020;37.83656117;22080;41.78652536
D01;0.903347561646186;0.103514333355585;1.03888145298243;0.0943612303236748;104;143;2.03721841332027;3.4912109375;1500;3.542749173;1180;2.233156699
D02;2.07298883968803;0.241653402650604;0.480350822979679;0.387161417441593;21;12;0.411361410381978;0.29296875;160;0.377893245;100;0.189250568
D05;0.969720676800037;0.132654160204382;1.67805351436459;0.158510836471527;63;52;1.23408423114594;1.26953125;340;0.803023146;680;1.286903861
D06;0.539591781988075;0.169392294712113;0.785712228610121;0.192573753277989;37;36;0.724779627815867;0.87890625;460;1.08644308;720;1.362604088
D07;0.985057569316035;0.0354979998281348;0.991576845320287;0.042061638852772;1227;1011;24.0352595494613;24.6826171875;10940;25.83845064;13260;25.09462528
D08;0.482998540267562;0.592413384718938;0.172693499651166;1.00860734447849;0;0;0;0;60;0.141709967;60;0.113550341
D10;0.754847839046406;0.519945277448971;1.0456506750481;0.482374264901403;0;0;0;0;60;0.141709967;60;0.113550341
D11;1.51929721487263;0.165761968543379;0.97822979661628;0.240180983142719;42;22;0.822722820763957;0.537109375;220;0.519603212;300;0.567751703
G01;0.589592387451268;0.725337501303074;0.891520421424131;0.725905346530793;0;0;0;0;20;0.047236656;40;0.075700227
G02;1.01236553978846;0.233020025919478;1.3186753793629;0.188582014072049;23;33;0.450538687561214;0.8056640625;360;0.850259802;240;0.454201363
G03;1.25155091832996;0.0505524620741946;1.30749552819931;0.0572654636594499;571;544;11.1851126346719;13.28125;5420;12.80113368;5660;10.71158213
G04;0.761008842417165;0.0965394815011315;0.991195946236872;0.123892765350409;122;80;2.3898139079334;1.953125;880;2.078412848;1600;3.028009084
H01;1.78419987433619;0.619762588054147;2.1217742036318;0.620025106384506;0;0;0;0;20;0.047236656;20;0.037850114
H02;1.02673808439714;0.042320897967379;1.09435076652131;0.0505527290026801;740;570;14.4955925563173;13.916015625;6060;14.31270666;7760;14.68584406
H03;1.14860168440896;0.0605544648635501;1.24513980361858;0.0763531646069983;348;239;6.81684622918707;5.8349609375;2400;5.668398677;3540;6.699470098
