code;coef_5_10;std_5_10;odd_ratio_1;corr_or_ci_inf_1;corr_or_ci_sup_1;n_brut_5_10_FR;n_5_10_FR;n_brut_5_10_FR_cont;n_5_10_FR_cont
N02;0.346339770723439;0.051869607023432;1.41;1.19;1.68;3574;88.8;34156;84.86
J01;0.187528746074716;0.0405869836669034;1.21;1.05;1.38;3190;79.25;30591;76
M01;0.25470639533219;0.0383623299274417;1.29;1.13;1.47;3048;75.73;28475;70.75
A02;0.130158765462578;0.0339570564836823;1.14;1.02;1.28;2481;61.64;23554;58.52
D08;0.150129881346764;0.0331228652037453;1.16;1.04;1.3;2139;53.14;19881;49.39
R01;0.121019009220594;0.0330979359544565;1.13;1.01;1.26;2109;52.4;19873;49.37
H02;0.0555434542613344;0.0330772145527812;1.06;0.95;1.18;1961;48.72;19052;47.33
M02;0.0607631337009268;0.0331747248011961;1.06;0.95;1.19;1854;46.06;17934;44.56
J07;0.154328642927599;0.0332590259799263;1.17;1.04;1.3;1813;45.04;16607;41.26
R05;0.085660998088407;0.0332654428987426;1.09;0.97;1.22;1800;44.72;17152;42.61
R06;0.131269788564395;0.0334088915058428;1.14;1.02;1.28;1738;43.18;16097;39.99
S01;0.109493373654946;0.0335707941485421;1.12;1;1.25;1675;41.61;15690;38.98
A03;0.088199709927264;0.0339058604663465;1.09;0.97;1.22;1575;39.13;14913;37.05
A01;0.101444336837181;0.0342113298415275;1.11;0.99;1.24;1505;37.39;14107;35.05
N05;0.0629166070741696;0.0344180161104188;1.06;0.95;1.2;1459;36.25;14010;34.81
C10;0.0100400838446523;0.0348148320454413;1.01;0.9;1.14;1383;34.36;13739;34.13
D07;0.0761700707567194;0.0349237445997273;1.08;0.96;1.21;1371;34.06;13030;32.37
B01;0.00438944687338557;0.0351751311301344;1;0.89;1.13;1326;32.94;13221;32.85
A06;0.147289528117382;0.0353184451925577;1.16;1.03;1.3;1318;32.75;11909;29.59
D01;0.119288666487529;0.0353134887869604;1.13;1;1.27;1316;32.7;12126;30.13
C09;-0.0642247610930365;0.0353040491677798;0.94;0.83;1.06;1302;32.35;13592;33.77
V08;0.181890579144426;0.0361367362467736;1.2;1.06;1.35;1216;30.21;10674;26.52
A07;0.0828274924738214;0.0364491004676815;1.09;0.96;1.23;1172;29.12;11044;27.44
R03;0.0671276364741951;0.0379433934289955;1.07;0.94;1.21;1030;25.59;9794;24.33
D06;0.141155100176593;0.038263550891396;1.15;1.01;1.31;1010;25.09;9070;22.53
A11;0.077190098542274;0.0389637884272501;1.08;0.95;1.23;953;23.68;8980;22.31
M03;0.0783409015118386;0.0394184195003488;1.08;0.95;1.23;922;22.91;8675;21.55
G04;0.0877826713289801;0.0409063536260758;1.09;0.95;1.25;833;20.7;7765;19.29
C07;-0.0336292365560616;0.0419494844238728;0.97;0.84;1.11;772;19.18;7932;19.71
N06;0.110715086237642;0.0440942188517011;1.12;0.96;1.29;687;17.07;6262;15.56
C08;0.00650516949897044;0.0465224215099261;1.01;0.86;1.18;597;14.83;5937;14.75
S02;0.0264737912191038;0.0471475942031088;1.03;0.88;1.2;579;14.39;5660;14.06
N01;0.117002621962098;0.048254002388759;1.12;0.96;1.32;552;13.71;4986;12.39
D02;0.062691551861666;0.0490745013681315;1.06;0.9;1.25;528;13.12;4999;12.42
