code;coef_5_10;std_5_10;odd_ratio_1;corr_or_ci_inf_1;corr_or_ci_sup_1;n_brut_5_10_FR;n_5_10_FR;n_brut_5_10_FR_cont;n_5_10_FR_cont
N02;0.323382132467186;0.0700990981189294;1.38;1.09;1.75;3050;92.82;29686;90.34
J01;0.197617510830422;0.0520944197276363;1.22;1.02;1.45;2819;85.79;27341;83.2
M01;0.126497649485807;0.0464080510478488;1.13;0.97;1.33;2659;80.92;25923;78.89
A02;0.124994862007654;0.0398065254998716;1.13;0.99;1.3;2297;69.9;22085;67.21
H02;0.194570546434245;0.037680419470236;1.21;1.07;1.38;2046;62.26;18926;57.6
R01;0.139183195243147;0.0373146768051298;1.15;1.01;1.3;1973;60.04;18619;56.66
A11;0.162128950567078;0.0371430701401584;1.18;1.04;1.33;1934;58.86;18034;54.88
D08;0.1114629190454;0.0368821389972537;1.12;0.99;1.27;1855;56.45;17644;53.69
R06;0.113251365326654;0.0367713634994023;1.12;0.99;1.27;1811;55.11;17185;52.3
S01;0.109110769817769;0.0367462821353193;1.12;0.99;1.26;1799;54.75;17098;52.03
M02;0.0247822415994969;0.0367528219059997;1.03;0.91;1.16;1798;54.72;17778;54.1
A03;0.0263177249927011;0.0367097583336566;1.03;0.91;1.16;1776;54.05;17545;53.39
N05;0.0580544333756312;0.0366962729053477;1.06;0.94;1.2;1770;53.86;17225;52.42
R05;0.0144879178125373;0.0365968272121919;1.01;0.9;1.15;1669;50.79;16571;50.43
J07;0.0850970777895321;0.0366570562042704;1.09;0.96;1.23;1554;47.29;14845;45.18
A01;0.0945879009337023;0.0369661692527389;1.1;0.97;1.25;1418;43.15;13423;40.85
D07;0.0351493817052601;0.0369883389788763;1.04;0.91;1.17;1406;42.79;13778;41.93
D01;0.0469391690233175;0.0372380302941635;1.05;0.92;1.19;1342;40.84;13049;39.71
A06;0.102621845841965;0.0374379384012178;1.11;0.98;1.26;1304;39.68;12242;37.26
G03;0.104584268772338;0.0378947713758155;1.11;0.98;1.26;1224;37.25;11448;34.84
A07;-0.0273091424661721;0.0387295347126868;0.97;0.85;1.11;1103;33.57;11231;34.18
R03;0.0752287442641061;0.0392191812492006;1.08;0.94;1.23;1057;32.17;10038;30.55
D06;0.0552264485811879;0.0392545160313996;1.06;0.93;1.21;1052;32.01;10129;30.82
V08;0.169292481671478;0.0393611203991904;1.18;1.04;1.35;1050;31.95;9329;28.39
C10;0.0234742440735737;0.0394878559144616;1.02;0.9;1.17;1027;31.25;10105;30.75
N06;0.0912100632397401;0.0395586793908427;1.1;0.96;1.25;1025;31.19;9618;29.27
B01;0.0788031606837384;0.0396677324854053;1.08;0.95;1.24;1014;30.86;9596;29.2
A12;0.155328773794505;0.0408903524256802;1.17;1.02;1.34;920;28;8207;24.98
C09;-0.0986925714994625;0.0409213469914624;0.91;0.79;1.04;902;27.45;9680;29.46
M03;0.0837574686182405;0.0412468523285407;1.09;0.95;1.25;890;27.08;8367;25.46
N01;0.104459140717241;0.0447445460343242;1.11;0.95;1.29;703;21.39;6470;19.69
C07;-0.0453876408241544;0.0454847058025708;0.96;0.82;1.11;665;20.24;6894;20.98
N07;0.131398864040711;0.0459751404968512;1.14;0.98;1.33;655;19.93;5888;17.92
G01;0.122479031703757;0.0465073611953318;1.13;0.97;1.32;635;19.32;5746;17.49
D02;-0.0228423801426907;0.0470860605761239;0.98;0.83;1.15;608;18.5;6194;18.85
S02;0.0252139371431627;0.0489420586565153;1.03;0.87;1.21;553;16.83;5415;16.48
H03;0.0337430539553884;0.0493506112342608;1.03;0.88;1.22;542;16.49;5269;16.03
B03;0.0594585130384123;0.050226061062629;1.06;0.9;1.26;520;15.82;4945;15.05
C03;-0.0293707902407328;0.0527770973732829;0.97;0.81;1.16;458;13.94;4697;14.29
A04;-0.0580643221417848;0.0529236070822702;0.94;0.79;1.13;454;13.82;4772;14.52
V03;0.113192645622185;0.053734211134619;1.12;0.93;1.34;444;13.51;4023;12.24
C08;-0.0779583404475778;0.0540093974689535;0.93;0.77;1.11;432;13.15;4621;14.06
B05;0.0998073941856064;0.057225952628872;1.1;0.91;1.34;383;11.66;3505;10.67
J05;0.074530623348897;0.0577665776926749;1.08;0.89;1.31;374;11.38;3500;10.65
M05;0.165444643984925;0.0602262675905188;1.18;0.96;1.45;343;10.44;2954;8.99
P01;0.125717245424088;0.0614178662270889;1.13;0.92;1.4;327;9.95;2918;8.88
C01;-0.0041361512886062;0.0616168750463553;1;0.81;1.23;321;9.77;3222;9.81
J02;0.03168025432707;0.0664819474900227;1.03;0.82;1.29;272;8.28;2642;8.04
A10;-0.279979641219663;0.068233792513677;0.76;0.6;0.95;251;7.64;3241;9.86
N03;0.251176329902088;0.0701552953544801;1.29;1.01;1.63;247;7.52;1954;5.95
D10;0.174078471469543;0.0747060177340155;1.19;0.92;1.53;214;6.51;1817;5.53
G04;0.0149154720478276;0.0792238070769383;1.02;0.78;1.33;186;5.66;1834;5.58
M04;0.0840890532372999;0.0800658952932227;1.09;0.83;1.43;183;5.57;1690;5.14
C05;0.146452161763547;0.0873998057577572;1.16;0.86;1.56;153;4.66;1330;4.05
P02;0.0671305357049658;0.087085109376676;1.07;0.8;1.44;153;4.66;1435;4.37
G02;-0.038586053845789;0.0901417749801006;0.96;0.71;1.3;141;4.29;1463;4.45
V04;0.215158624302084;0.0937682883953386;1.24;0.9;1.7;133;4.05;1081;3.29
M09;0.0655454161590669;0.0937825591696439;1.07;0.78;1.47;131;3.99;1230;3.74
C02;-0.0659954295181954;0.10099923075045;0.94;0.67;1.32;111;3.38;1183;3.6
B02;-0.0170633641350212;0.105421699320157;0.98;0.69;1.4;102;3.1;1037;3.16
D05;0.00908043934192495;0.111543433893554;1.01;0.69;1.47;91;2.77;902;2.74
N04;0.0515001612723691;0.112354226175716;1.05;0.72;1.54;90;2.74;856;2.6
L02;-0.106316222181799;0.121975009057481;0.9;0.6;1.36;75;2.28;832;2.53
A16;0.168298144585651;0.134487470536617;1.18;0.75;1.86;63;1.92;534;1.63
C04;-0.232572159035685;0.134313542175344;0.79;0.5;1.25;61;1.86;766;2.33
L01;0.196181124672821;0.136830175232135;1.22;0.77;1.93;61;1.86;503;1.53
A05;-0.0301169244847933;0.136476313075009;0.97;0.61;1.54;60;1.83;618;1.88
L04;0.323085513368567;0.144990092760123;1.38;0.85;2.26;55;1.67;400;1.22
H04;0.10953694392676;0.174291722584259;1.12;0.62;2.01;37;1.13;332;1.01
