code;oddratio_ci;oddratio_ci;n_brut_5_10_SW;n_5_10_SW;n_brut_5_10_SW_cont;n_5_10_SW_cont;n_brut_2_5_SW;n_2_5_SW;n_brut_2_5_SW_cont;n_2_5_SW_cont
A01;1.03 (0.81-1.30);1.08 (0.82-1.41);196;9.98980632008155;1809;9.22018348623853;242;8.5968028419183;2329;8.27353463587922
A02;1.16 (0.98-1.36);1.07 (0.88-1.31);395;20.1325178389399;3673;18.7206931702345;619;21.9893428063943;5449;19.3570159857904
A03;1.25 (0.89-1.74);1.39 (0.94-2.04);93;4.74006116207951;662;3.37410805300714;120;4.26287744227353;959;3.40674955595027
A04;0.98 (0.35-2.71);1.08 (0.35-3.32);10;0.509683995922528;90;0.458715596330275;12;0.426287744227353;119;0.422735346358792
A05;2.17 (0.34-13.84);2.07 (0.24-17.50);3;0.152905198776758;14;0.0713557594291539;4;0.142095914742451;18;0.063943161634103
A06;1.07 (0.88-1.30);1.09 (0.86-1.39);261;13.302752293578;2370;12.0795107033639;411;14.6003552397869;3809;13.5310834813499
A07;1.21 (0.87-1.67);1.12 (0.76-1.67);85;4.33231396534149;742;3.78185524974516;127;4.51154529307282;1044;3.70870337477798
A08;0.67 (0.24-1.82);0.71 (0.31-1.62);18;0.917431192660551;249;1.26911314984709;12;0.426287744227353;176;0.625222024866785
A09;0.84 (0.22-3.17);1.33 (0.34-5.14);7;0.35677879714577;53;0.27013251783894;8;0.284191829484902;83;0.294849023090586
A10;0.70 (0.53-0.92);0.70 (0.49-1.01);100;5.09683995922528;1380;7.03363914373089;174;6.18117229129663;2386;8.47602131438721
B01;1.00 (0.85-1.17);0.99 (0.80-1.21);463;23.598369011213;4604;23.4658511722732;779;27.6731793960924;7688;27.3108348134991
C01;0.93 (0.74-1.17);1.00 (0.76-1.32);191;9.73496432212029;1868;9.52089704383282;274;9.7335701598579;2878;10.2238010657194
C02;0.90 (0.42-1.95);0.97 (0.40-2.35);16;0.815494393476045;164;0.835881753312946;23;0.817051509769094;230;0.817051509769094
C03;0.97 (0.81-1.15);0.99 (0.79-1.23);342;17.4311926605505;3410;17.3802242609582;546;19.3960923623446;5519;19.6056838365897
C05;0.95 (0.66-1.36);0.77 (0.50-1.19);69;3.51681957186544;877;4.46992864424057;101;3.58792184724689;1042;3.70159857904085
C07;0.90 (0.77-1.06);0.89 (0.73-1.09);443;22.579001019368;4718;24.0468909276249;699;24.8312611012433;7363;26.1563055062167
C08;1.05 (0.88-1.26);0.94 (0.74-1.19);267;13.6085626911315;2751;14.0214067278287;493;17.5133214920071;4654;16.5328596802842
C09;0.87 (0.74-1.02);0.88 (0.72-1.07);423;21.5596330275229;4565;23.2670744138634;716;25.4351687388988;7704;27.3676731793961
C10;1.00 (0.85-1.17);1.01 (0.82-1.23);430;21.9164118246687;4203;21.4220183486239;683;24.2628774422735;6718;23.8650088809947
D06;1.14 (0.78-1.67);1.11 (0.70-1.75);64;3.26197757390418;567;2.88990825688073;91;3.23268206039076;791;2.80994671403197
D07;0.94 (0.77-1.13);1.01 (0.82-1.25);349;17.7879714576962;3363;17.1406727828746;421;14.955595026643;4330;15.3818827708703
G01;1.47 (0.78-2.80);1.28 (0.63-2.62);27;1.37614678899083;200;1.01936799184506;32;1.13676731793961;215;0.763765541740675
G03;0.97 (0.78-1.21);1.04 (0.81-1.33);309;15.7492354740061;2923;14.8980632008155;355;12.6110124333925;3535;12.5577264653641
G04;1.09 (0.88-1.35);1.05 (0.80-1.37);216;11.0091743119266;2034;10.3669724770642;351;12.4689165186501;3205;11.3854351687389
H01;1.35 (0.54-3.43);1.82 (0.63-5.26);13;0.662589194699286;67;0.341488277268094;16;0.568383658969805;109;0.387211367673179
