code;n_brut_5_10_SW;n_5_10_SW;n_brut_5_10_SW_cont;n_5_10_SW_cont;coef_5_10_SW;StdErr;OddsRatioEst;UpperCL;LowerCL;oddratio_ci;oddratio_ci
A01;83;4.565456546;850;4.675467547;-0.013025585;0.060117189;0.974285234;0.653615638;1.45227816;;0.97 (0.65-1.45)
A02;200;11.00110011;1846;10.1540154;0.049545879;0.041545504;1.104167611;0.837968403;1.454930888;;1.10 (0.84-1.45)
A03;31;1.705170517;229;1.259625963;0.156994862;0.097642966;1.368875671;0.715788792;2.617840099;;1.37 (0.72-2.62)
A04;1;0.055005501;23;0.126512651;-0.416454547;0.510753912;0.434782622;0.014634547;12.91710187;;0.43 (0.01-12.92)
A05;2;0.110011001;5;0.02750275;0.693147233;0.418330004;4.00000042;0.248711413;64.33160078;;4.00 (0.25-64.33)
A06;115;6.325632563;1039;5.715071507;0.058013784;0.052681125;1.123026831;0.791535299;1.59334557;;1.12 (0.79-1.59)
A07;33;1.815181518;349;1.919691969;-0.028784838;0.092316072;0.944056109;0.511422925;1.742671072;;0.94 (0.51-1.74)
A08;6;0.330033003;107;0.588558856;-0.290869155;0.210222077;0.558925935;0.138396067;2.257276588;;0.56 (0.14-2.26)
A09;4;0.220022002;22;0.121012101;0.2989185;0.271778653;1.818181819;0.29915224;11.05051103;;1.82 (0.30-11.05)
A10;73;4.01540154;969;5.330033003;-0.154489;0.063052115;0.734196922;0.483042388;1.115937511;;0.73 (0.48-1.12)
B01;314;17.27172717;3055;16.80418042;0.021245531;0.036965348;1.04340673;0.816308566;1.333683914;;1.04 (0.82-1.33)
C01;114;6.270627063;1163;6.397139714;-0.011706857;0.053092795;0.97685826;0.686632804;1.389756001;;0.98 (0.69-1.39)
C02;13;0.715071507;128;0.704070407;0.007864377;0.146604081;1.015853102;0.383759889;2.689070839;;1.02 (0.38-2.69)
C03;161;8.855885589;1706;9.383938394;-0.036190249;0.045962782;0.930176898;0.68551949;1.262150928;;0.93 (0.69-1.26)
C05;38;2.090209021;370;2.03520352;0.013855928;0.086842894;1.028099402;0.57756496;1.830077053;;1.03 (0.58-1.83)
C07;240;13.20132013;2879;15.83608361;-0.12440069;0.0387937;0.779734829;0.602663821;1.00883176;;0.78 (0.60-1.01)
C08;165;9.075907591;1707;9.389438944;-0.020952161;0.045210859;0.958961528;0.710270554;1.294728054;;0.96 (0.71-1.29)
C09;248;13.64136414;2928;16.10561056;-0.116280873;0.038671207;0.792500814;0.613029179;1.024514921;;0.79 (0.61-1.02)
C10;259;14.24642464;2746;15.10451045;-0.04019005;0.037944979;0.922765536;0.717244228;1.187177534;;0.92 (0.72-1.19)
D06;29;1.595159516;268;1.474147415;0.041044466;0.09976234;1.085552347;0.559705904;2.105434102;;1.09 (0.56-2.11)
D07;184;10.1210121;1652;9.086908691;0.065801434;0.043137929;1.140655239;0.856554229;1.518986574;;1.14 (0.86-1.52)
G03;9;0.495049505;59;0.324532453;0.212628879;0.179671077;1.529984735;0.464043194;5.044472846;;1.53 (0.46-5.04)
G04;178;9.790979098;1890;10.3960396;-0.037974063;0.043985679;0.926864285;0.692104867;1.241253233;;0.93 (0.69-1.24)
H01;2;0.110011001;33;0.181518152;-0.250384719;0.364108597;0.606064151;0.054015192;6.800193428;;0.61 (0.05-6.80)
H02;96;5.280528053;893;4.911991199;0.040179713;0.056690841;1.0836765;0.743732471;1.579001594;;1.08 (0.74-1.58)
H03;33;1.815181518;238;1.309130913;0.165942917;0.093695051;1.393593738;0.748069459;2.596153982;;1.39 (0.75-2.60)
J01;511;28.10781078;4786;26.32563256;0.064950357;0.033149178;1.13871532;0.913736162;1.419088609;;1.14 (0.91-1.42)
J02;7;0.385038504;67;0.368536854;0.022269312;0.200301513;1.045545358;0.276516412;3.953346161;;1.05 (0.28-3.95)
J05;24;1.320132013;262;1.441144114;-0.045100015;0.108084639;0.91374839;0.445796043;1.872910567;;0.91 (0.45-1.87)
J06;1;0.055005501;7;0.03850385;0.178337716;0.534522386;1.428572124;0.041064509;49.69786272;;1.43 (0.04-49.70)
J07;29;1.595159516;298;1.639163916;-0.014083511;0.098933056;0.97222597;0.504043239;1.875282244;;0.97 (0.50-1.88)
L01;32;1.760176018;461;2.535753575;-0.190084858;0.093000227;0.683745356;0.368726062;1.267899831;;0.68 (0.37-1.27)
L02;7;0.385038504;125;0.687568757;-0.296693626;0.195941615;0.552452815;0.150399411;2.029290613;;0.55 (0.15-2.03)
L03;2;0.110011001;13;0.071507151;0.215392518;0.379776967;1.538464801;0.123566583;19.15464423;;1.54 (0.12-19.15)
L04;17;0.935093509;137;0.753575358;0.110234307;0.13006116;1.246660797;0.525633244;2.956744384;;1.25 (0.53-2.96)
M01;385;21.17711771;3653;20.09350935;0.04113747;0.03372202;1.085754286;0.867931119;1.358244155;;1.09 (0.87-1.36)
M03;29;1.595159516;223;1.226622662;0.135674497;0.100489779;1.311732777;0.673064569;2.556430628;;1.31 (0.67-2.56)
M05;8;0.440044004;90;0.495049505;-0.059586112;0.1854972;0.887654912;0.259008678;3.042103639;;0.89 (0.26-3.04)
N02;304;16.72167217;2827;15.55005501;0.051600926;0.036177441;1.108715182;0.871952548;1.409766342;;1.11 (0.87-1.41)
N03;31;1.705170517;291;1.600660066;0.032516825;0.095823434;1.067194935;0.564822181;2.016395722;;1.07 (0.56-2.02)
N04;11;0.605060506;102;0.561056106;0.037962862;0.159126598;1.078882436;0.375051433;3.103540497;;1.08 (0.38-3.10)
N05;187;10.2860286;1824;10.0330033;0.015001619;0.042180932;1.030457871;0.778736365;1.363546731;;1.03 (0.78-1.36)
