code;n_brut_5_10_SW;n_5_10_SW;n_brut_5_10_SW_cont;n_5_10_SW_cont;coef_5_10_SW;StdErr;OddsRatioEst;UpperCL;LowerCL;oddratio_ci;oddratio_ci
A01;118;8.016304348;1097;7.452445652;0.042041589;0.052129174;1.087719365;0.769464718;1.537605804;;1.09 (0.77-1.54)
A02;209;14.19836957;1997;13.56657609;0.029768869;0.041688679;1.061345814;0.804704938;1.399835994;;1.06 (0.80-1.40)
A03;63;4.279891304;441;2.995923913;0.190842955;0.070018192;1.464751948;0.920128024;2.331738857;;1.46 (0.92-2.33)
A04;9;0.611413043;49;0.332880435;0.306724994;0.182350931;1.846791829;0.550251445;6.198330034;;1.85 (0.55-6.20)
A05;1;0.067934783;15;0.101902174;-0.202731975;0.516397518;0.666667439;0.021614317;20.56254999;;0.67 (0.02-20.56)
A06;151;10.25815217;1367;9.286684783;0.061176415;0.047767379;1.130152783;0.822976417;1.551982884;;1.13 (0.82-1.55)
A07;55;3.736413043;437;2.96875;0.122383618;0.074010275;1.277323964;0.781399293;2.087993328;;1.28 (0.78-2.09)
A08;12;0.815217391;153;1.039402174;-0.124050123;0.151308566;0.78028172;0.285702134;2.131029099;;0.78 (0.29-2.13)
A09;4;0.27173913;38;0.258152174;0.025646887;0.262828691;1.052632083;0.183798142;6.028539197;;1.05 (0.18-6.03)
A10;36;2.445652174;531;3.607336957;-0.205211359;0.088117595;0.663369772;0.369526403;1.190874185;;0.66 (0.37-1.19)
B01;182;12.36413043;1870;12.70380435;-0.018673065;0.04549375;0.963342636;0.712176467;1.3030886;;0.96 (0.71-1.30)
C01;86;5.842391304;767;5.210597826;0.066303423;0.061409792;1.141801006;0.759449978;1.716649649;;1.14 (0.76-1.72)
C02;3;0.203804348;32;0.217391304;-0.032449231;0.302724403;0.937162617;0.125553758;6.995200996;;0.94 (0.13-7.00)
C03;212;14.40217391;2005;13.62092391;0.038762148;0.042741676;1.080608488;0.813601119;1.435242254;;1.08 (0.81-1.44)
C05;33;2.241847826;445;3.023097826;-0.156728081;0.092091222;0.73091642;0.396550514;1.347215032;;0.73 (0.40-1.35)
C07;237;16.10054348;2326;15.80163043;0.01315415;0.040451996;1.026657418;0.784822791;1.343010761;;1.03 (0.78-1.34)
C08;124;8.423913043;1269;8.620923913;-0.014051245;0.051820774;0.972288711;0.689217737;1.371620734;;0.97 (0.69-1.37)
C09;197;13.38315217;1841;12.50679348;0.044927375;0.043348712;1.094015367;0.820381841;1.458917743;;1.09 (0.82-1.46)
C10;190;12.9076087;1896;12.88043478;0.001405626;0.043949727;1.002815208;0.748997455;1.342645874;;1.00 (0.75-1.34)
D06;36;2.445652174;304;2.065217391;0.088331697;0.090229447;1.193229377;0.655425982;2.172322101;;1.19 (0.66-2.17)
D07;173;11.75271739;1743;11.84103261;-0.004766678;0.044958429;0.990511942;0.734869614;1.335085691;;0.99 (0.73-1.34)
G01;28;1.902173913;223;1.514945652;0.11793617;0.102223442;1.266012681;0.642169893;2.495894196;;1.27 (0.64-2.50)
G03;319;21.67119565;2961;20.11548913;0.055601028;0.036255731;1.117620706;0.878499518;1.421828944;;1.12 (0.88-1.42)
G04;51;3.464673913;319;2.167119565;0.248727147;0.078080958;1.64452945;0.979207488;2.761904036;;1.64 (0.98-2.76)
H01;11;0.747282609;53;0.360054348;0.369816145;0.167067483;2.095164958;0.690931992;6.353326013;;2.10 (0.69-6.35)
H02;124;8.423913043;1132;7.690217391;0.053088385;0.051209462;1.11201843;0.79147293;1.562384437;;1.11 (0.79-1.56)
H03;96;6.52173913;1068;7.255434783;-0.059732726;0.056249241;0.887394665;0.610811731;1.289217694;;0.89 (0.61-1.29)
J01;515;34.98641304;4801;32.61548913;0.084354632;0.036600391;1.183775921;0.928373367;1.509441656;;1.18 (0.93-1.51)
J02;36;2.445652174;356;2.418478261;0.005885259;0.089762751;1.011840064;0.557516119;1.836395898;;1.01 (0.56-1.84)
J05;31;2.105978261;315;2.139945652;-0.008280755;0.095743227;0.983574878;0.520842856;1.857411558;;0.98 (0.52-1.86)
J06;2;0.135869565;6;0.04076087;0.601986588;0.408248252;3.333334573;0.221609289;50.13832867;;3.33 (0.22-50.14)
J07;30;2.038043478;260;1.766304348;0.075468192;0.099173164;1.162922675;0.601948033;2.246687542;;1.16 (0.60-2.25)
L01;36;2.445652174;361;2.452445652;-0.001476091;0.090150805;0.997052171;0.547954358;1.814225979;;1.00 (0.55-1.81)
L02;9;0.611413043;138;0.9375;-0.218487537;0.173597749;0.645987532;0.203990283;2.045685151;;0.65 (0.20-2.05)
L03;1;0.067934783;17;0.11548913;-0.265309585;0.514493679;0.588240636;0.019314235;17.9156484;;0.59 (0.02-17.92)
L04;20;1.358695652;188;1.277173913;0.031784589;0.119239399;1.065633201;0.482780423;2.35215445;;1.07 (0.48-2.35)
M01;358;24.32065217;3467;23.55298913;0.026528209;0.035844132;1.054489135;0.831143763;1.337851988;;1.05 (0.83-1.34)
M03;25;1.698369565;271;1.841032609;-0.042005085;0.106588888;0.919421905;0.453041329;1.865915063;;0.92 (0.45-1.87)
M05;54;3.668478261;463;3.145380435;0.083177803;0.074951833;1.180992996;0.717966278;1.942632266;;1.18 (0.72-1.94)
N02;333;22.62228261;3116;21.16847826;0.052593707;0.036542715;1.110918792;0.871569066;1.415998584;;1.11 (0.87-1.42)
N03;34;2.309782609;282;1.91576087;0.096627662;0.092388253;1.213192512;0.656907099;2.24055437;;1.21 (0.66-2.24)
N04;7;0.475543478;139;0.944293478;-0.348073159;0.194728414;0.498502678;0.136809742;1.816427082;;0.50 (0.14-1.82)
N05;296;20.10869565;2611;17.73777174;0.091936228;0.037548227;1.201862522;0.936644158;1.54217961;;1.20 (0.94-1.54)
N06;180;12.22826087;1585;10.76766304;0.076559153;0.043383632;1.165462851;0.87375636;1.554556534;;1.17 (0.87-1.55)
N07;16;1.086956522;165;1.120923913;-0.015816967;0.132717468;0.968861184;0.401361691;2.338768287;;0.97 (0.40-2.34)
P02;2;0.135869565;21;0.142663043;-0.02439489;0.370006376;0.952381318;0.081620717;11.11274453;;0.95 (0.08-11.11)
P03;1;0.067934783;9;0.061141304;0.052684554;0.527044465;1.111120659;0.033565277;36.78173538;;1.11 (0.03-36.78)
R01;162;11.00543478;1549;10.52309783;0.027683412;0.045984058;1.05692825;0.778822359;1.434341622;;1.06 (0.78-1.43)
R03;140;9.510869565;1265;8.59375;0.05892852;0.048175322;1.125083259;0.817068528;1.549211965;;1.13 (0.82-1.55)
R05;280;19.02173913;2537;17.23505435;0.071686271;0.038299835;1.154159695;0.8949902;1.48837898;;1.15 (0.89-1.49)
R06;128;8.695652174;1104;7.5;0.086743011;0.050822542;1.189444061;0.848758015;1.666879311;;1.19 (0.85-1.67)
S01;228;15.48913043;1961;13.32201087;0.101717739;0.041066197;1.225606076;0.933094764;1.609815328;;1.23 (0.93-1.61)
