code;medoc;coef_5_10;std_5_10;odd_ratio_1;corr_or_ci_inf_1;corr_or_ci_sup_1;n_5_10_FR;n_5_10_FR_cont;n_brut_5_10_FR;n_brut_5_10_FR_cont
N06;PSYCHOANALEPTIQUES;0.315284862518019;0.0131531815939426;1.37;1.31;1.43;29.22;23.15;17735;13939
N03;ANTIEPILEPTIQUES;0.312936682448138;0.022852252002667;1.37;1.27;1.48;7.95;5.94;4826;3578
A16;AUTRES MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME;0.277394738132509;0.0473396101687404;1.32;1.13;1.55;1.73;1.32;1053;795
N02;ANALGESIQUES;0.2680811821097;0.0187486561337643;1.31;1.23;1.39;90.61;88.06;54996;53033
A06;LAXATIFS;0.268109689642549;0.0117734812648263;1.31;1.26;1.36;43.15;36.73;26191;22119
G04;MEDICAMENTS UROLOGIQUES;0.244494760015767;0.0144903844647402;1.28;1.22;1.34;21.74;17.87;13197;10761
N05;PSYCHOLEPTIQUES;0.233725675468038;0.0115414926005634;1.26;1.22;1.31;50.08;44.27;30400;26658
N07;AUTRES MEDICAMENTS DU SYSTEME NERVEUX;0.193799270524699;0.0155991270272154;1.21;1.15;1.28;17.67;15.02;10724;9047
J01;ANTIBACTERIENS A USAGE SYSTEMIQUE;0.172922176667539;0.0147009426699318;1.19;1.13;1.25;82.37;79.71;49995;48005
D01;ANTIFONGIQUES A USAGE DERMATOLOGIQUE;0.171695632857709;0.0119245702479091;1.19;1.14;1.24;39.03;35.03;23690;21095
D10;PREPARATIONS ANTIACNEIQUES;0.177393232158131;0.0287941994483387;1.19;1.08;1.32;4.55;3.84;2762;2312
A02;MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE;0.156288496458441;0.0121706234861054;1.17;1.12;1.22;67.95;64.45;41243;38815
M01;ANTIINFLAMMATOIRES ET ANTIRHUMATISMAUX;0.15123934252929;0.013077682394908;1.16;1.11;1.22;75.16;72.23;45620;43498
A03;MEDICAMENTS POUR LES DESORDRES FONCTIONNELS GASTRO-INTESTINAUX;0.151959550649142;0.011536820153814;1.16;1.12;1.21;48.59;44.81;29491;26983
V08;PRODUITS DE CONTRASTE;0.140345942526854;0.0125248925499677;1.15;1.1;1.2;31.8;28.84;19304;17368
G03;HORMONES SEXUELLES ET MODULATEURS DE LA FONCTION GENITALE;0.137216455029867;0.0165522286294788;1.15;1.08;1.21;14.93;13.27;9063;7992
V04;MEDICAMENTS POUR DIAGNOSTIC;0.140534941630516;0.0369870399811665;1.15;1.02;1.3;2.66;2.32;1616;1398
D08;ANTISEPTIQUES ET DESINFECTANTS;0.134537858373845;0.0115936263452574;1.14;1.1;1.19;57.66;54.35;35000;32730
S01;MEDICAMENTS OPHTALMOLOGIQUES;0.131250240677859;0.0115131830385701;1.14;1.1;1.19;52.95;49.67;32137;29911
A11;VITAMINES;0.134806293076809;0.0117059803024958;1.14;1.1;1.19;42.53;39.27;25815;23651
R01;PREPARATIONS NASALES;0.114588987876257;0.0115658917386145;1.12;1.08;1.17;56.42;53.59;34247;32271
J07;VACCINS;0.106760532539289;0.0115330299409018;1.11;1.07;1.16;54.68;52.02;33187;31327
R06;ANTIHISTAMINIQUES A USAGE SYSTEMIQUE;0.102660510791442;0.0115319748026993;1.11;1.07;1.15;47.99;45.43;29128;27361
D07;CORTICOIDES, PREPARATIONS DERMATOLOGIQUES;0.0946952905803901;0.0117815840784607;1.1;1.06;1.14;40.4;38.14;24520;22968
A01;PREPARATIONS STOMATOLOGIQUES;0.0922645816014826;0.0118134143577184;1.1;1.05;1.14;39.78;37.59;24144;22637
A04;ANTIEMETIQUES ET ANTINAUSEEUX;0.0961643871392663;0.0188425085564272;1.1;1.03;1.17;10.87;9.97;6597;6005
G01;ANTIINFECTIEUX ET ANTISEPTIQUES A USAGE GYNECOLOGIQUE;0.0974685486021222;0.0233207822496116;1.1;1.02;1.19;6.82;6.22;4138;3748
C05;VASCULOPROTECTEURS;0.0941303828903298;0.025168118306988;1.1;1.01;1.2;5.79;5.29;3512;3188
M02;TOPIQUES POUR DOULEURS ARTICULAIRE ET MUSCULAIRE;0.0900559960037768;0.0115238707883118;1.09;1.05;1.14;53.91;51.66;32721;31113
A07;ANTIDIARRHEIQUES, ANTIINFLAMMATOIRES ET ANTIINFECTIEUX INTESTINAUX;0.0863935645403276;0.012389629251943;1.09;1.05;1.14;32.4;30.54;19666;18390
D06;ANTIBIOTIQUES ET CHIMIOTHERAPIE A USAGE DERMATOLOGIQUE;0.0883244564529205;0.0128378338431796;1.09;1.05;1.14;28.73;26.95;17436;16231
M03;MYORELAXANTS;0.0827396872454928;0.0135386444980998;1.09;1.04;1.14;24.41;22.92;14816;13800
D02;EMOLLIENTS ET PROTECTEURS;0.0830131125968499;0.0149544038638784;1.09;1.03;1.14;18.69;17.46;11344;10515
C01;MEDICAMENTS EN CARDIOLOGIE;0.0817608850532433;0.0152738852427003;1.09;1.03;1.14;17.71;16.55;10749;9966
N01;ANESTHESIQUES;0.0888330224188916;0.0157057083067989;1.09;1.04;1.15;16.58;15.39;10063;9266
M05;MEDICAMENTS POUR LE TRAITEMENT DES DESORDRES OSSEUX;0.0834620764113609;0.0232963336175513;1.09;1;1.18;6.79;6.28;4119;3780
J02;ANTIMYCOSIQUES A USAGE SYSTEMIQUE;0.0850552030552932;0.0234622442018755;1.09;1.01;1.18;6.69;6.18;4060;3720
