code;medoc;coef_5_10;std_5_10;odd_ratio_1;corr_or_ci_inf_1;corr_or_ci_sup_1;n_5_10_FR;n_5_10_FR_cont;n_brut_5_10_FR;n_brut_5_10_FR_cont
N02;ANALGESIQUES;0.294018934;0.02316135;1.34;1.24;1.45;89.19;85.25;31174;29797
J01;ANTIBACTERIENS A USAGE SYSTEMIQUE;0.217675896;0.018724568;1.24;1.17;1.32;80.97;76.7;28302;26811
M01;ANTIINFLAMMATOIRES ET ANTIRHUMATISMAUX;0.171724289;0.016664991;1.19;1.12;1.26;72.4;68.23;25306;23849
A02;MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE;0.159296875;0.015763244;1.17;1.11;1.24;65.36;61.13;22847;21367
D08;ANTISEPTIQUES ET DESINFECTANTS;0.14744889;0.0152537;1.16;1.1;1.22;56.97;52.86;19914;18475
R01;PREPARATIONS NASALES;0.14717733;0.015198628;1.16;1.1;1.22;54.77;50.65;19143;17704
J07;VACCINS;0.11992403;0.015195656;1.13;1.07;1.19;54.45;51.01;19034;17831
M02;TOPIQUES POUR DOULEURS ARTICULAIRE ET MUSCULAIRE;0.093503981;0.01517207;1.1;1.04;1.16;49.8;47.05;17408;16445
H02;CORTICOIDES A USAGE SYSTEMIQUE;0.084330013;0.015174297;1.09;1.03;1.14;49.36;46.84;17255;16373
S01;MEDICAMENTS OPHTALMOLOGIQUES;0.160164515;0.015210575;1.17;1.12;1.24;48.56;44.18;16974;15444
R05;MEDICAMENTS DU RHUME ET DE LA TOUX;0.089190605;0.015243188;1.09;1.04;1.15;46.09;43.49;16109;15202
R06;ANTIHISTAMINIQUES A USAGE SYSTEMIQUE;0.121706201;0.015338574;1.13;1.07;1.19;44.1;40.76;15413;14246
N05;PSYCHOLEPTIQUES;0.261184303;0.015517393;1.3;1.23;1.37;43.06;36.48;15050;12750
C10;AGENTS MODIFIANT LES LIPIDES;0.031599603;0.015336777;1.03;0.98;1.09;42.88;41.73;14987;14587
C09;MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE;0.006335643;0.015324978;1.01;0.96;1.06;42.81;42.28;14964;14778
A03;MEDICAMENTS POUR LES DESORDRES FONCTIONNELS GASTRO-INTESTINAUX;0.171388955;0.015448822;1.19;1.13;1.25;42.75;38.27;14942;13378
B01;ANTITHROMBOTIQUES;0.032965322;0.015363069;1.03;0.98;1.09;42.36;41.19;14805;14396
A06;LAXATIFS;0.279049411;0.015670402;1.32;1.25;1.39;41.21;34.34;14403;12004
A01;PREPARATIONS STOMATOLOGIQUES;0.110674054;0.015728916;1.12;1.06;1.18;38.07;35.19;13308;12299
D07;CORTICOIDES. PREPARATIONS DERMATOLOGIQUES;0.107086225;0.015749233;1.11;1.06;1.17;37.8;35;13212;12235
D01;ANTIFONGIQUES A USAGE DERMATOLOGIQUE;0.187728883;0.016054913;1.21;1.14;1.27;35.86;31.39;12536;10972
V08;PRODUITS DE CONTRASTE;0.133350389;0.016461683;1.14;1.08;1.21;32.04;28.95;11199;10119
G04;MEDICAMENTS UROLOGIQUES;0.243112954;0.016798011;1.28;1.21;1.35;31.25;26.04;10922;9103
A07;ANTIDIARRHEIQUES. ANTIINFLAMMATOIRES ET ANTIINFECTIEUX INTESTINAUX;0.115029176;0.016697044;1.12;1.06;1.19;30.31;27.69;10596;9680
A11;VITAMINES;0.174068956;0.017104969;1.19;1.12;1.26;28.71;25.06;10035;8759
R03;MEDICAMENTS POUR LES SYNDROMES OBSTRUCTIFS DES VOIES AERIENNES;0.030109786;0.017025777;1.03;0.97;1.09;27.56;26.72;9633;9341
D06;ANTIBIOTIQUES ET CHIMIOTHERAPIE A USAGE DERMATOLOGIQUE;0.102021224;0.01748161;1.11;1.04;1.17;26.12;23.99;9130;8384
C07;BETABLOQUANTS;0.033812659;0.017428433;1.03;0.98;1.1;25.67;24.81;8973;8672
N06;PSYCHOANALEPTIQUES;0.366039704;0.019225125;1.44;1.35;1.54;22.6;16.69;7901;5835
M03;MYORELAXANTS;0.075116723;0.018349467;1.08;1.01;1.15;22.5;21.03;7866;7352
C08;INHIBITEURS CALCIQUES;0.034597267;0.018969347;1.04;0.97;1.1;20.24;19.51;7073;6819
C01;MEDICAMENTS EN CARDIOLOGIE;0.085258762;0.019693696;1.09;1.02;1.16;18.75;17.33;6554;6058
D02;EMOLLIENTS ET PROTECTEURS;0.093701353;0.021045503;1.1;1.02;1.18;15.96;14.61;5579;5108
A10;MEDICAMENTS DU DIABETE;-0.016574514;0.020728814;0.98;0.92;1.05;15.8;15.88;5521;5549
N07;AUTRES MEDICAMENTS DU SYSTEME NERVEUX;0.223766265;0.022427689;1.25;1.16;1.35;14.58;11.9;5095;4159
S02;MEDICAMENTS OTOLOGIQUES;0.038161181;0.021858713;1.04;0.97;1.12;14.22;13.64;4970;4767
C03;DIURETIQUES;-0.036081423;0.021623049;0.96;0.9;1.04;14.13;14.45;4940;5050
N01;ANESTHESIQUES;0.087695805;0.022477701;1.09;1.01;1.18;13.61;12.5;4757;4369
M04;ANTIGOUTTEUX;-0.074966593;0.022014553;0.93;0.86;1;13.32;14.08;4655;4922
A12;SUPPLEMENTS MINERAUX;0.059375502;0.023905019;1.06;0.98;1.15;11.65;10.96;4073;3830
B05;SUBSTITUTS DU SANG ET SOLUTIONS DE PERFUSION;-0.000850053;0.024261118;1;0.92;1.08;10.96;10.87;3832;3801
B03;PREPARATIONS ANTIANEMIQUES;0.029131795;0.027456715;1.03;0.94;1.13;8.43;8.13;2946;2843
A04;ANTIEMETIQUES ET ANTINAUSEEUX;0.079981647;0.028238597;1.08;0.99;1.19;8.12;7.48;2838;2613
J05;ANTIVIRAUX A USAGE SYSTEMIQUE;0.076490526;0.02979666;1.08;0.98;1.19;7.22;6.66;2522;2328
N03;ANTIEPILEPTIQUES;0.352872907;0.032328225;1.42;1.28;1.59;6.99;4.98;2445;1739
P01;ANTIPROTOZOAIRES;0.094947222;0.030836371;1.1;0.99;1.22;6.76;6.13;2364;2144
C02;ANTIHYPERTENSEURS;0.02086964;0.032602579;1.02;0.92;1.14;5.79;5.63;2025;1968
V03;TOUS AUTRES MEDICAMENTS;0.10853263;0.034115752;1.11;0.99;1.25;5.49;4.91;1920;1717
C05;VASCULOPROTECTEURS;0.126220669;0.03468291;1.13;1.01;1.27;5.35;4.71;1871;1645
J02;ANTIMYCOSIQUES A USAGE SYSTEMIQUE;0.083908267;0.03493553;1.09;0.97;1.22;5.16;4.72;1804;1651
H03;MEDICAMENTS DE LA THYROIDE;0.068561744;0.037466501;1.07;0.94;1.21;4.42;4.11;1546;1435
D10;PREPARATIONS ANTIACNEIQUES;0.2311749;0.040138258;1.26;1.1;1.44;4.17;3.31;1457;1156
D05;MEDICAMENTS CONTRE LE PSORIASIS;0.086076788;0.041276108;1.09;0.95;1.25;3.65;3.33;1275;1163
