code;n_brut_5_10_SW;n_5_10_SW;n_brut_5_10_SW_cont;n_5_10_SW_cont;coef_5_10_SW;StdErr;OddsRatioEst;UpperCL;LowerCL;oddratio_ci;oddratio_ci
A01;641;5.374360694;5063;4.244990358;0.130103893;0.022123917;1.297199599;1.119970763;1.502473864;;1.30 (1.12-1.50)
A02;1329;11.14278528;11505;9.646180934;0.089025668;0.016203535;1.19488666;1.072999622;1.330619417;;1.19 (1.07-1.33)
A03;205;1.718789302;1533;1.285319024;0.14979217;0.037822522;1.349297842;1.049631027;1.734518721;;1.35 (1.05-1.73)
A04;19;0.159302423;184;0.15427182;0.016060226;0.120545787;1.032641882;0.463793151;2.29919147;;1.03 (0.46-2.30)
A05;5;0.04192169;37;0.031022051;0.150552611;0.238236755;1.351351525;0.277811455;6.573346453;;1.35 (0.28-6.57)
A06;954;7.998658506;7173;6.014085688;0.167014836;0.018830858;1.396584583;1.232433585;1.582599275;;1.40 (1.23-1.58)
A07;245;2.054162824;2101;1.761549426;0.079896573;0.034463257;1.173268151;0.933283181;1.474962993;;1.17 (0.93-1.47)
A08;59;0.494675945;480;0.402448227;0.10434795;0.069406041;1.232070269;0.777114385;1.953376719;;1.23 (0.78-1.95)
A09;24;0.201224113;174;0.145887482;0.16079192;0.108873534;1.379310642;0.669416924;2.842022331;;1.38 (0.67-2.84)
A10;646;5.416282385;6471;5.425505156;-0.00093985;0.021691261;0.998122066;0.864233733;1.152752573;;1.00 (0.86-1.15)
B01;2395;20.08048965;21849;18.31894022;0.073476422;0.01375076;1.15829934;1.057223687;1.26903831;;1.16 (1.06-1.27)
C01;984;8.250188648;8290;6.950616249;0.10207961;0.01851661;1.22649342;1.084595305;1.386956132;;1.23 (1.08-1.39)
C02;80;0.670747045;904;0.75794416;-0.062117678;0.058778085;0.883171957;0.597782561;1.304810071;;0.88 (0.60-1.30)
C03;1234;10.34627316;11936;10.0075459;0.020959693;0.016805593;1.04281041;0.932700098;1.165919844;;1.04 (0.93-1.17)
C04;2;0.016768676;33;0.027668316;-0.250384446;0.364108509;0.606064483;0.054015253;6.800193165;;0.61 (0.05-6.80)
C05;263;2.205080909;2313;1.939297392;0.066904137;0.033247371;1.143173622;0.916715719;1.42557382;;1.14 (0.92-1.43)
