code;n_brut_5_10_SW;n_5_10_SW;n_brut_5_10_SW_cont;n_5_10_SW_cont;coef_5_10_SW;StdErr;OddsRatioEst;UpperCL;LowerCL;oddratio_ci;oddratio_ci
A01;626;7.680039259;5270;6.46546436;0.100054693;0.022917189;1.221536371;1.049104321;1.422309559;;1.22 (1.05-1.42)
A02;1132;13.88786652;10311;12.6499816;0.061676084;0.018101236;1.131282752;1.003162991;1.275765431;;1.13 (1.00-1.28)
A03;268;3.28794013;2311;2.83523494;0.078571135;0.033293275;1.170162081;0.938071902;1.45967414;;1.17 (0.94-1.46)
A04;38;0.466200466;241;0.295669243;0.229855352;0.087760137;1.583615784;0.884240577;2.836150045;;1.58 (0.88-2.84)
A05;3;0.0368053;43;0.052754263;-0.180001136;0.298575369;0.69767474;0.09607991;5.066095964;;0.70 (0.10-5.07)
A06;916;11.23788492;7088;8.695865538;0.160679782;0.0199013;1.379001331;1.208298024;1.573820889;;1.38 (1.21-1.57)
A07;233;2.858544964;2125;2.607042081;0.048761409;0.035546271;1.102436596;0.87065605;1.395920293;;1.10 (0.87-1.40)
A08;54;0.662495399;578;0.709115446;-0.034620873;0.071776772;0.93310108;0.579350704;1.502850725;;0.93 (0.58-1.50)
A09;29;0.355784566;161;0.197521776;0.297040823;0.101463238;1.811366707;0.923443891;3.553057611;;1.81 (0.92-3.55)
A10;310;3.80321433;3142;3.854741749;-0.007254177;0.030899978;0.985596385;0.802769583;1.210061088;;0.99 (0.80-1.21)
B01;1292;15.85081585;11711;14.36756226;0.071637372;0.017845248;1.154046825;1.025089949;1.299226546;;1.15 (1.03-1.30)
C01;593;7.275180959;4747;5.823825298;0.130602049;0.023769991;1.298492657;1.108900276;1.520500279;;1.30 (1.11-1.52)
C02;18;0.2208318;156;0.19138756;0.071637755;0.124545087;1.15404771;0.504737218;2.638652487;;1.15 (0.50-2.64)
C03;1257;15.42142068;12184;14.94785916;0.022722217;0.017923961;1.046492854;0.929068686;1.178758159;;1.05 (0.93-1.18)
C04;1;0.012268433;18;0.02208318;-0.29388351;0.513696652;0.555566469;0.01833821;16.83120073;;0.56 (0.02-16.83)
C05;224;2.748129064;2266;2.780026991;-0.006150268;0.036149636;0.987774807;0.776982049;1.255754969;;0.99 (0.78-1.26)
C07;1419;17.40890688;13081;16.04833763;0.058913399;0.016932657;1.125049233;1.005406689;1.258929138;;1.13 (1.01-1.26)
C08;775;9.508035824;7349;9.016071648;0.03276645;0.021023147;1.067727864;0.928613125;1.227683263;;1.07 (0.93-1.23)
C09;1074;13.17629739;10818;13.27199117;-0.004868482;0.018546879;0.990310286;0.875561183;1.120098153;;0.99 (0.88-1.12)
C10;1055;12.94319715;10193;12.50521408;0.022897496;0.018691496;1.046859773;0.924669812;1.185196458;;1.05 (0.92-1.19)
D06;208;2.551834131;1516;1.859894491;0.165922678;0.037986997;1.39353733;1.082862052;1.793345962;;1.39 (1.08-1.79)
